transaction_id,date,posted_date,account_id,amount,merchant,description,category_id,subcategory_id,payment_method,is_transfer,notes
tx_raw_00001,2026-01-02,2026-01-02,acc_checking,3500.00,Acme Payroll,ACME PAYROLL DIRECT DEP,cat_income,,direct_deposit,false,
tx_raw_00002,2026-01-03,2026-01-03,acc_checking,-1800.00,Sunrise Apartments,ACH RENT SUNRISE APTS,cat_housing,cat_rent,ach,false,
tx_raw_00003,2026-01-04,2026-01-04,acc_checking,-62.40,City Electric,CHASE ONLINE BILLPAY CITY ELECTRIC,cat_housing,cat_utilities,ach,false,
tx_raw_00004,2026-01-05,2026-01-05,acc_checking,-54.99,NetWave Internet,CHASE AUTOPAY NETWAVE INTERNET,cat_housing,cat_internet,ach,false,
tx_raw_00005,2026-01-06,2026-01-06,acc_cc1,-23.18,Freshmart #1042,FRESHMART #1042,cat_food,cat_groceries,card,false,
tx_raw_00006,2026-01-07,2026-01-07,acc_cc1,-41.72,Bella Pizza 0192,BELLA PIZZA 0192,cat_food,cat_dining,card,false,
tx_raw_00007,2026-01-08,2026-01-08,acc_cc1,-12.50,Metrocard Reload,METROCARD RELOAD,cat_transport,cat_transit,card,false,
tx_raw_00008,2026-01-10,2026-01-10,acc_cc1,-45.10,Quickfuel 3321,QUICKFUEL 3321,cat_transport,cat_gas,card,false,
tx_raw_00009,2026-01-12,2026-01-12,acc_cc1,-9.99,Streamflix.Com Sub,STREAMFLIX.COM SUB,cat_entertainment,cat_streaming,card,false,
tx_raw_00010,2026-01-15,2026-01-15,acc_checking,-200.00,Chase Online Transfer,CHASE ONLINE TRANSFER TO SAVINGS,cat_transfers,,transfer,true,Transfer to savings
tx_raw_00011,2026-01-15,2026-01-15,acc_savings,200.00,Chase Online Transfer,CHASE ONLINE TRANSFER FROM CHECKING,cat_transfers,,transfer,true,
tx_raw_00012,2026-01-18,2026-01-18,acc_cc1,-118.63,Supersaver Mkt 5512,SUPERSAVER MKT 5512,cat_food,cat_groceries,card,false,
tx_raw_00013,2026-01-20,2026-01-20,acc_cc1,-27.45,Coffee Corner 88,COFFEE CORNER 88,cat_food,cat_dining,card,false,
tx_raw_00014,2026-01-21,2026-01-21,acc_cc1,-76.20,Pharmaplus #220,PHARMAPLUS #220,cat_health,cat_pharmacy,card,false,
tx_raw_00015,2026-01-22,2026-01-22,acc_cc1,-49.95,Cldbox Storage Plan,CLDBOX STORAGE PLAN,cat_entertainment,cat_streaming,card,false,
tx_raw_00016,2026-01-25,2026-01-25,acc_cc1,-83.17,Stylehub Online,STYLEHUB ONLINE,cat_shopping,cat_clothes,card,false,
tx_raw_00017,2026-01-28,2026-01-28,acc_cc1,-15.00,Moviehouse Tickets,MOVIEHOUSE TICKETS,cat_entertainment,cat_events,card,false,
tx_raw_00018,2026-01-31,2026-01-31,acc_cc1,-39.00,Chase Service Fee,CHASE MONTHLY SERVICE FEE,cat_fees,,card,false,
tx_raw_00019,2026-02-01,2026-02-01,acc_checking,3500.00,Acme Payroll,ACME PAYROLL DIRECT DEP,cat_income,,direct_deposit,false,
tx_raw_00020,2026-02-02,2026-02-02,acc_checking,-1800.00,Sunrise Apartments,ACH RENT SUNRISE APTS,cat_housing,cat_rent,ach,false,
tx_raw_00021,2026-02-03,2026-02-03,acc_cc1,-96.44,Freshmart #1042,FRESHMART #1042,cat_food,cat_groceries,card,false,
tx_raw_00022,2026-02-05,2026-02-05,acc_cc1,-58.30,Sushi Yama Ny,SUSHI YAMA NY,cat_food,cat_dining,card,false,
tx_raw_00023,2026-02-07,2026-02-07,acc_cc1,-52.17,Quickfuel 3321,QUICKFUEL 3321,cat_transport,cat_gas,card,false,
tx_raw_00024,2026-02-08,2026-02-08,acc_cc1,-120.00,Autocare Service 018,AUTOCARE SERVICE 018,cat_transport,cat_auto,card,false,
tx_raw_00025,2026-02-10,2026-02-10,acc_cc1,-9.99,Streamflix.Com Sub,STREAMFLIX.COM SUB,cat_entertainment,cat_streaming,card,false,
tx_raw_00026,2026-02-11,2026-02-11,acc_cc1,-79.99,Homegoods Depot,HOMEGOODS DEPOT,cat_shopping,cat_homegoods,card,false,
tx_raw_00027,2026-02-12,2026-02-12,acc_cc1,-220.00,Hlth Ins Premium,HLTH INS PREMIUM,cat_health,cat_insurance,card,false,
tx_raw_00028,2026-02-14,2026-02-14,acc_cc1,-14.25,Coffee Corner 88,COFFEE CORNER 88,cat_food,cat_dining,card,false,
tx_raw_00029,2026-02-16,2026-02-16,acc_cc1,600.00,Chase Credit Card Payment,CHASE CREDIT CARD PAYMENT,cat_transfers,,transfer,true,
tx_raw_00030,2026-02-16,2026-02-16,acc_checking,-600.00,Chase Credit Card Payment,CHASE CREDIT CARD PAYMENT,cat_transfers,,transfer,true,Pay cc
tx_raw_00031,2026-02-18,2026-02-18,acc_cc1,-18.29,Metrocard Reload,METROCARD RELOAD,cat_transport,cat_transit,card,false,
tx_raw_00032,2026-02-19,2026-02-19,acc_cc1,-6.42,Chase Fee,CHASE FOREIGN TRANSACTION FEE,cat_fees,,card,false,
tx_raw_00033,2026-02-20,2026-02-20,acc_savings,2.31,Chase Savings Interest,CHASE SAVINGS INTEREST,cat_interest,,unknown,false,
