Transaction Date,Post Date,Description,Category,Type,Amount
01/06/2026,01/06/2026,FRESHMART #1042,Groceries,Sale,-23.18
01/07/2026,01/07/2026,BELLA PIZZA 0192,Restaurants,Sale,-41.72
01/08/2026,01/08/2026,METROCARD RELOAD,Transportation,Sale,-12.50
01/10/2026,01/10/2026,QUICKFUEL 3321,Gas,Sale,-45.10
01/12/2026,01/12/2026,STREAMFLIX.COM SUB,Entertainment,Sale,-9.99
01/18/2026,01/18/2026,SUPERSAVER MKT 5512,Groceries,Sale,-118.63
01/20/2026,01/20/2026,COFFEE CORNER 88,Restaurants,Sale,-27.45
01/21/2026,01/21/2026,PHARMAPLUS #220,Health,Sale,-76.20
01/22/2026,01/22/2026,CLDBOX STORAGE PLAN,Shopping,Sale,-49.95
01/25/2026,01/25/2026,STYLEHUB ONLINE,Shopping,Sale,-83.17
01/28/2026,01/28/2026,MOVIEHOUSE TICKETS,Entertainment,Sale,-15.00
01/31/2026,01/31/2026,CHASE MONTHLY SERVICE FEE,Fees & Adjustments,Fee,-39.00
02/03/2026,02/03/2026,FRESHMART #1042,Groceries,Sale,-96.44
02/05/2026,02/05/2026,SUSHI YAMA NY,Restaurants,Sale,-58.30
02/07/2026,02/07/2026,QUICKFUEL 3321,Gas,Sale,-52.17
02/08/2026,02/08/2026,AUTOCARE SERVICE 018,Auto Service,Sale,-120.00
02/10/2026,02/10/2026,STREAMFLIX.COM SUB,Entertainment,Sale,-9.99
02/11/2026,02/11/2026,HOMEGOODS DEPOT,Shopping,Sale,-79.99
02/12/2026,02/12/2026,HLTH INS PREMIUM,Insurance,Sale,-220.00
02/14/2026,02/14/2026,COFFEE CORNER 88,Restaurants,Sale,-14.25
02/16/2026,02/16/2026,CHASE CREDIT CARD PAYMENT,Payment,Payment,600.00
02/18/2026,02/18/2026,METROCARD RELOAD,Transportation,Sale,-18.29
02/19/2026,02/19/2026,CHASE FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-6.42
